word,freq
eels,11
eery,0
egad,0
eggs,436
egis,0
egos,19
eked,12
ekes,2
elan,0
elks,1
ells,0
elms,3
else,2121
emir,10
emit,35
emos,0
emus,5
ends,830
envy,41
eons,1
epee,0
epic,286
eras,31
ergo,0
ergs,0
errs,0
erst,0
espy,0
etas,0
etch,5
euro,93
even,13531
ever,4638
eves,0
evil,334
ewer,0
ewes,23
exam,285
exec,33
exes,21
exit,631
expo,27
eyed,25
eyes,1372
eyry,0
face,4736
fact,3258
fade,81
fads,8
fags,2
fail,430
fain,0
fair,1446
fake,647
fall,2304
fame,378
fang,0
fans,4821
fare,237
farm,1055
faro,0
fart,15
fast,1236
fate,395
fats,75
faun,0
fawn,9
fays,0
faze,2
fear,1250
feat,211
feds,40
feed,525
feel,5881
fees,864
feet,1615
fell,1739
felt,3279
fend,48
fens,0
fern,13
fess,2
fest,26
feta,16
fete,9
feud,134
fiat,17
fibs,0
fief,0
fife,1
figs,8
file,553
fill,789
film,4167
find,6588
fine,1496
fink,0
fins,17
fire,4060
firm,3385
firs,1
fish,801
fist,90
fits,255
five,6968
fizz,18
flab,0
flag,719
flak,18
flan,4
flap,20
flat,690
flaw,50
flax,9
flay,0
flea,14
fled,460
flee,192
flew,292
flex,37
flip,221
flit,4
floe,1
flog,2
flop,36
flow,638
flub,3
flue,3
flus,0
flux,25
foal,5
foam,182
fobs,4
foci,0
foes,75
fogs,0
fogy,0
foil,67
fold,151
folk,184
fond,122
font,19
food,5397
fool,72
foot,925
fops,0
fora,3
ford,7
fore,41
fork,88
form,2516
fort,24
foul,313
four,8588
fowl,4
foxy,2
frat,13
fray,56
free,4893
fret,16
frig,0
friz,0
frog,39
from,91106
fuck,44
fuel,1304
full,4674
fume,5
fumy,0
fund,1817
funk,29
funs,0
furl,0
furs,5
fury,72
fuse,21
fuss,48
futz,0
fuze,0
fuzz,3
gabs,0
gads,0
gaff,4
gaga,8
gage,3
gags,14
gain,1015
gait,13
gala,100
gale,13
gall,8
gals,3
game,12131
gamy,0
gang,472
gaol,0
gape,3
gaps,301
garb,13
gars,0
gash,10
gasp,16
gate,269
gave,5338
gawk,3
gays,13
gaze,40
gear,382
geed,0
geek,12
gees,0
geez,1
geld,2
gels,18
gelt,0
gems,76
gene,81
gent,5
germ,6
gets,2352
ghat,4
gibe,1
gift,860
gigs,98
gild,0
gill,5
gilt,7
gimp,1
gins,10
gird,1
girl,1302
girt,0
gist,11
give,5258
glad,439
glee,17
glen,3
glib,7
glob,1
glop,0
glow,100
glue,37
glum,6
glut,19
gnat,1
gnaw,3
gnus,0
goad,3
goal,3789
goat,74
gobs,2
gods,75
goer,2
goes,2450
gold,1651
golf,611
gone,2251
gong,23
good,11929
goof,2
gook,0
goon,6
goop,1
goos,0
gore,21
gorp,0
gory,25
gosh,35
gout,4
gown,116
grab,427
grad,34
gram,34
gray,150
grew,2281
grey,248
grid,371
grim,131
grin,45
grip,188
grit,81
grog,2
grow,1575
grub,20
guff,2
gulf,18
gull,9
gulp,9
gums,22
gunk,8
guns,390
guru,74
gush,17
gust,36
guts,50
guys,1238
gyms,34
gyps,0
gyro,2
gyve,0
hack,137
hadj,0
haft,0
hags,1
hail,125
hair,1395
hajj,14
hake,2
hale,2
half,5024
hall,623
halo,13
halt,288
hams,9
hand,2789
hang,316
hank,1
haps,0
hard,4548
hare,7
hark,1
harm,791
harp,18
hart,0
hash,40
hasp,0
hast,0
hate,691
hath,4
hats,135
haul,152
have,87031
hawk,19
haws,0
hays,0
haze,26
hazy,17
head,4828
heal,168
heap,36
hear,1899
heat,1446
heck,67
heed,49
heel,116
heft,13
heir,56
held,5020
hell,398
helm,187
help,10756
heme,0
hemp,42
hems,4
hens,15
herb,35
herd,88
here,7805
hero,485
hers,85
hewn,2
hews,0
hick,0
hide,336
hied,0
hies,0
high,8386
hike,332
hill,195
hilt,7
hims,0
hind,7
hint,156
hips,61
hire,339
hiss,4
hist,0
hits,1171
hive,22
hoax,44
hobo,5
hobs,0
hock,3
hods,1
hoed,0
hoer,0
hoes,2
hogs,25
hoke,0
hold,3648
hole,570
holy,145
home,13142
homo,4
homy,0
hone,38
honk,9
hons,1
hood,92
hoof,3
hook,154
hoop,40
hoot,10
hope,3442
hops,27
hora,1
horn,51
hose,76
host,2216
hots,4
hour,1532
hove,1
howl,12
hows,1
hubs,147
hued,1
hues,39
huff,5
huge,2878
hugs,58
hula,15
hulk,5
hull,38
hump,21
hums,3
hung,187
hunk,9
hunt,286
hurl,8
hurt,821
hush,123
husk,5
huts,31
hymn,9
hype,167
hypo,1
iamb,0
ibex,1
ibis,0
iced,33
ices,2
icky,6
icon,323
idea,2526
idem,1
ides,0
idle,41
idly,13
idol,67
idyl,0
iffy,12
ikon,0
ilea,0
ilia,0
ilks,0
ills,8
imam,13
imps,2
inch,166
info,111
inks,8
inky,5
inns,8
into,28092
ions,11
iota,7
ires,0
iris,5
irks,5
iron,275
isle,9
isms,1
itch,24
item,429
jabs,48
jack,42
jade,7
jags,1
jail,818
jamb,1
jams,60
jape,0
jars,30
jato,0
java,3
jaws,29
jays,3
jazz,160
jean,10
jeep,14
jeer,1
jeez,2
jell,1
jerk,34
jest,17
jets,224
jews,2
jibe,21
jibs,0
jiff,0
jigs,1
jilt,0
jinn,4
jinx,11
jive,9
jobs,1969
jock,10
jogs,1
john,1
join,1772
joke,395
joky,0
jolt,29
josh,1
jots,0
jowl,1
joys,49
judo,22
jugs,9
jump,680
junk,86
jury,761
just,27571
jute,9
juts,4
kale,17
kart,8
kayo,1
keel,8
keen,691
keep,5943
kegs,5
kelp,7
keno,1
kens,0
kent,3
kepi,0
kept,1851
kerb,24
keys,230
khan,0
kick,891
kids,2547
kill,838
kiln,10
kilo,22
kilt,8
kind,3570
kine,0
king,321
kink,6
kips,0
kirk,1
kiss,155
kite,28
kith,0
kits,168
kiwi,5
knee,456
knew,2322
knit,54
knob,12
knot,141
know,11838
kola,1
kook,0
labs,53
lace,60
lack,2042
lacs,0
lacy,8
lade,0
lads,128
lady,384
lags,38
laid,593
lain,12
lair,5
lake,334
lama,0
lamb,86
lame,40
lamp,60
lams,0
land,2774
lane,496
lank,0
laps,86
lard,12
lark,2
lash,35
lass,6
last,24321
late,4242
lath,0
laud,5
lava,40
lave,0
lawn,220
laws,1266
lays,94
laze,2
lazy,99
lead,5358
leaf,103
leak,220
lean,228
leap,149
leas,0
lech,0
leek,2
leer,0
lees,1
left,8586
legs,497
leis,1
lend,102
lens,165
lent,51
